物种代码,物种中文名,科学学名,观测地名称,观测时间,纬度,经度,数量,省份代码,检查表ID
gragoo,灰雁 (Graylag Goose),Anser anser,可鲁克湖 (Keluke Lake),2025-07-04 12:22,37.3182,96.9023,2,CN-63,S256687968
gragoo,灰雁 (Graylag Goose),Anser anser,中华秋沙鸭公园 (Scaly-sided Merganser Park),2025-07-04 15:30,42.419842,128.113907,18,CN-22,S257004248
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,甘子河湿地 (Ganzihe Estuary Wetlands),2025-07-04 16:07,37.0628929,100.4599496,50,CN-63,S256807475
gragoo,灰雁 (Graylag Goose),Anser anser,那拉提国家湿地公园 (Narat National Wetland Park),2025-07-04 19:40,43.516717,82.705485,4,CN-65,S261273343
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"石铁公路, 海南藏族自治州, 青海省, CN (37.075, 99.527)",2025-07-05 10:54,37.0750888,99.5269581,2,CN-63,S257080949
gragoo,灰雁 (Graylag Goose),Anser anser,Olympic Forest Park(sounth),2025-07-05 17:30,40.0150928,116.3899815,0,CN-11,S257359254
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,Olympic Forest Park(sounth),2025-07-05 17:30,40.0150928,116.3899815,0,CN-11,S257359254
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--大红盐池 (Ulungur Lake--Greater Saltpond),2025-07-05 21:32,47.229273,87.3922484,0,CN-65,S257359751
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-07-06 15:14,40.0173836,116.3938028,2,CN-11,S257407146
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-07-06 15:55,33.9145052,102.8158266,50,CN-51,S257476950
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,风峡口 (Fengxiakou),2025-07-06 17:00,37.613714,101.315926,1,CN-63,S286181806
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--东岸 (Ulungur Lake--East),2025-07-06 17:00,47.1988641,87.3611904,1,CN-65,S283054281
gragoo,灰雁 (Graylag Goose),Anser anser,可鲁克湖 (Keluke Lake),2025-07-07 08:34,37.3182,96.9023,3,CN-63,S257706324
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"泉吉乡, 海北藏族自治州 CN-青海省 37.10027, 99.76223",2025-07-07 09:21,37.100272,99.762227,15,CN-63,S257720523
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,天津水上公园 (Tianjin Water Park),2025-07-08 11:07,39.0871487,117.1613854,3,CN-12,S257996849
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-07-08 14:45,40.0173836,116.3938028,1,CN-11,S258007783
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北京动物园 (Beijing Zoo),2025-07-08 16:08,39.9408424,116.3336412,1,CN-11,S258018864
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,青海湖--鸟岛 (Qinghai Lake--Bird Island),2025-07-08 19:00,36.9788756,99.9005919,0,CN-63,S286181803
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,拉萨河 (Lhasa River),2025-07-09 09:45,29.6383062,91.1341667,3,CN-54,S258323497
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-07-09 10:08,40.0225917,116.3919748,2,CN-11,S258258419
gragoo,灰雁 (Graylag Goose),Anser anser,夹河子水库 (Jiahezi Reservoir),2025-07-09 11:00,44.4378435,86.1425793,8,CN-65,S262908828
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,青海湖--东端 (Qinghai Lake--Eastern End),2025-07-09 21:00,36.6385369,100.7415881,0,CN-63,S265414280
gragoo,灰雁 (Graylag Goose),Anser anser,青海湖--东端 (Qinghai Lake--Eastern End),2025-07-09 21:00,36.6385369,100.7415881,0,CN-63,S265414280
gragoo,灰雁 (Graylag Goose),Anser anser,呼和诺尔 (Hoh Nur),2025-07-10 07:00,49.2651253,119.2397301,12,CN-15,S310914113
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花海鸳鸯,2025-07-10 16:53,37.599034,101.348538,0,CN-63,S258588702
gragoo,灰雁 (Graylag Goose),Anser anser,奎屯中水库 (Kuitun Reclaimed Water Reservoir),2025-07-11 06:00,44.493051,84.924869,10,CN-65,S286912413
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花湖 (Flower Lake),2025-07-11 10:00,33.9145052,102.8158266,6,CN-51,S260113247
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-07-11 10:00,33.9145052,102.8158266,4,CN-51,S260113247
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-07-12 05:42,31.4951401,121.9647217,8,CN-31,S259060663
gragoo,灰雁 (Graylag Goose),Anser anser,哈巴河湿地 (S229 Wetlands W of Habahe),2025-07-12 07:10,48.060168,86.395527,17,CN-65,S259067393
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-07-12 18:15,40.0225917,116.3919748,8,CN-11,S284084030
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,沙柳河西,2025-07-12 20:01,37.201787,100.19485,0,CN-63,S259160086
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-07-13 05:00,31.4951401,121.9647217,19,CN-31,S259431891
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-07-13 07:43,33.9145052,102.8158266,7,CN-51,S259371630
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,布哈河传奇打野点,2025-07-13 09:11,37.038766,99.721729,0,CN-63,S259368579
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,玛旁雍错 (Mapam Yumtso Lake),2025-07-13 16:51,30.6813625,81.4691162,10,CN-54,S259717768
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-07-13 18:15,40.0225917,116.3919748,5,CN-11,S284084028
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--黄金海岸景区 (Ulungur Lake--Golden Lakefront),2025-07-13 19:00,47.1451352,87.3200923,20,CN-65,S262862197
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,东寨港 (Dongzhai Harbor [General Area]),2025-07-14 07:04,19.9473715,110.6058884,17,CN-46,S259730943
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--黄金海岸景区 (Ulungur Lake--Golden Lakefront),2025-07-14 10:00,47.1451352,87.3200923,20,CN-65,S262860255
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,东格尔观景台,2025-07-14 11:00,36.8592797,99.6921225,50,CN-63,S260119202
gragoo,灰雁 (Graylag Goose),Anser anser,辉河湿地 (Huihe Wetlands),2025-07-14 11:25,48.9271604,119.6892634,6,CN-15,S259735188
gragoo,灰雁 (Graylag Goose),Anser anser,呼和诺尔 (Hoh Nur),2025-07-15 09:22,49.2651253,119.2397301,8,CN-15,S260008287
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,呼和诺尔 (Hoh Nur),2025-07-15 09:22,49.2651253,119.2397301,30,CN-15,S260008287
gragoo,灰雁 (Graylag Goose),Anser anser,"Ulunguhu. Fuhai - route Y087 Kms 13.5 - 0 (47.19639, 87.36074)",2025-07-15 15:49,47.196387,87.360744,1,CN-65,S260010635
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,云天湖公园 (Yuntian Lake Park),2025-07-15 17:00,31.2298843,121.6372365,1,CN-31,S260028771
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,曲江池遗址公园 (Qujiang Pond Park),2025-07-15 18:11,34.2030236,108.9791837,3,CN-61,S260048536
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河南岸鸬鹚岛东,2025-07-16 08:03,40.128543,116.325446,3,CN-11,S260214762
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,天津水上公园 (Tianjin Water Park),2025-07-16 14:09,39.0871487,117.1613854,3,CN-12,S260427800
gragoo,灰雁 (Graylag Goose),Anser anser,"兵团农九师一六三团, 塔城地区 CN-新疆维吾尔自治区 (46.5162,82.8221)",2025-07-16 20:00,46.516163,82.82214,30,CN-65,S262855210
gragoo,灰雁 (Graylag Goose),Anser anser,"阿拉善那仁淖日湖 (Naran Nur Lake, Alxa)",2025-07-17 06:00,38.0209459,104.3881542,15,CN-15,S260466552
gragoo,灰雁 (Graylag Goose),Anser anser,花海鸳鸯 (Huahai Yuanyang),2025-07-17 09:00,37.6242932,101.3627815,1,CN-63,S293820918
gragoo,灰雁 (Graylag Goose),Anser anser,北大港水库 (Beidagang Reservoir),2025-07-17 11:50,38.7358754,117.3537965,13,CN-12,S260526823
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,结古镇 (Jiegu),2025-07-17 17:22,33.001456,97.01399,1,CN-63,S277947317
gragoo,灰雁 (Graylag Goose),Anser anser,"阿拉善那仁淖日湖 (Naran Nur Lake, Alxa)",2025-07-18 05:48,38.0209459,104.3881542,8,CN-15,S260641450
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花海鸳鸯,2025-07-18 09:00,37.624085,101.362762,10,CN-63,S260682876
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--黄金海岸景区 (Ulungur Lake--Golden Lakefront),2025-07-18 09:00,47.1451352,87.3200923,30,CN-65,S286915842
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,申扎县买巴乡昂扎共玛,2025-07-18 11:00,30.9939782,89.1187475,60,CN-54,S283105163
gragoo,灰雁 (Graylag Goose),Anser anser,七星河自然保护区 (Qixing River NNR),2025-07-18 11:30,46.712865,132.134921,1,CN-23,S276786890
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,张掖国家湿地公园 (Zhangye National Wetland Park),2025-07-18 18:00,38.9777453,100.453818,8,CN-62,S260747993
gragoo,灰雁 (Graylag Goose),Anser anser,抹坡泉 (Mopoquan),2025-07-18 18:11,40.313429,95.57898,6,CN-62,S260756019
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,Beijing Conference Center,2025-07-18 18:53,40.0189096,116.4222208,23,CN-11,S260746588
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园 (Olympic Forest Park),2025-07-19 05:07,40.0225917,116.3919748,3,CN-11,S260910961
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-07-19 05:07,40.0225917,116.3919748,0,CN-11,S260910961
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-07-19 06:48,40.132575,116.2998359,2,CN-11,S260948134
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,隆宝国家级自然保护区 (Longbao NNR),2025-07-19 14:13,33.1998989,96.5299215,35,CN-63,S260967505
gragoo,灰雁 (Graylag Goose),Anser anser,锡林浩特市额尔敦敖包公园西150米(滨河路西),2025-07-20 07:42,43.95902,116.06859,0,CN-15,S299491594
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,Congress Center,2025-07-20 11:27,40.0168848,116.4240909,2,CN-11,S261254610
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北京会议中心 (Beijing Conference Center),2025-07-20 16:50,40.0208254,116.4285075,12,CN-11,S262027036
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,布哈河桥 (Buha River Bridge),2025-07-20 18:00,37.041285,99.727993,0,CN-63,S264907056
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,翠湖国家城市湿地公园,2025-07-21 10:43,40.103719,116.188075,1,CN-11,S261561552
gragoo,灰雁 (Graylag Goose),Anser anser,达里诺尔湖--北岸 (Lake Dalnur--North Shore),2025-07-21 12:00,43.3826092,116.6697548,10,CN-15,S262332357
gragoo,灰雁 (Graylag Goose),Anser anser,小岛河码头 (Xiaodaohe Port),2025-07-21 15:05,37.5979632,118.9581929,21,CN-37,S262306512
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"青石嘴镇, 海北藏族自治州 CN-青海省 (37.4558,101.3925)",2025-07-21 17:30,37.455806,101.392529,20,CN-63,S287232705
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-07-22 07:45,40.0225917,116.3919748,1,CN-11,S305248936
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园 (Olympic Forest Park),2025-07-22 07:45,40.0225917,116.3919748,1,CN-11,S305248936
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园（南园）,2025-07-22 09:12,40.0129364,116.3890542,1,CN-11,S304443567
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花海鸳鸯 (Huahai Yuanyang),2025-07-22 16:30,37.6242932,101.3627815,20,CN-63,S287233014
gragoo,灰雁 (Graylag Goose),Anser anser,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-07-23 04:48,31.4951401,121.9647217,5,CN-31,S263358226
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,崇明东滩鸟类自然保护区 (Chongming Dongtan NNR),2025-07-23 04:48,31.4951401,121.9647217,1,CN-31,S263358226
gragoo,灰雁 (Graylag Goose),Anser anser,希里沟湖 (Lake Xiligou),2025-07-23 14:04,36.838594,98.462896,20,CN-63,S262107023
gragoo,灰雁 (Graylag Goose),Anser anser,辉河湿地 (Huihe Wetlands),2025-07-23 16:41,48.9271604,119.6892634,150,CN-15,S262072672
gragoo,灰雁 (Graylag Goose),Anser anser,同发湿地 (Tongfa Wetlands),2025-07-23 17:15,44.91733,122.139898,6,CN-22,S262125002
gragoo,灰雁 (Graylag Goose),Anser anser,向海国家级自然保护区 (Xianghai NNR),2025-07-24 05:05,45.0228506,122.3481574,5,CN-22,S262288630
gragoo,灰雁 (Graylag Goose),Anser anser,"G301, 呼伦贝尔市, 内蒙古自治区, CN (49.269, 119.274)",2025-07-24 14:37,49.2687754,119.274378,0,CN-15,S262285147
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,小北湖湿地 (Xiaobeihu Freshwater Marsh),2025-07-24 16:17,36.5577787,100.7237206,60,CN-63,S262296953
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--大红盐池 (Ulungur Lake--Greater Saltpond),2025-07-24 17:31,47.229273,87.3922484,0,CN-65,S262332408
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,北京会议中心 (Beijing Conference Center),2025-07-25 09:05,40.0208254,116.4285075,2,CN-11,S262499404
gragoo,灰雁 (Graylag Goose),Anser anser,北京会议中心 (Beijing Conference Center),2025-07-25 09:05,40.0208254,116.4285075,1,CN-11,S262499404
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北京会议中心 (Beijing Conference Center),2025-07-25 09:05,40.0208254,116.4285075,16,CN-11,S262499404
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,云冈石窟 (Yungang Grottoes),2025-07-25 12:06,40.1091229,113.1284858,15,CN-14,S262525687
gragoo,灰雁 (Graylag Goose),Anser anser,"Horqin Youyi Zhongqi, Hinggan CN-Nei Mongol Zizhiqu (44.6845,122.0248)",2025-07-25 13:50,44.684536,122.024755,21,CN-15,S262599857
gragoo,灰雁 (Graylag Goose),Anser anser,黑马河 (Heimahe),2025-07-25 15:35,36.7286999,99.7788719,20,CN-63,S262535741
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Heimahe partway to Quanwan, Gonghe, Hainan (36.73387, 99.77524)",2025-07-25 16:21,36.733872,99.775244,20,CN-63,S262535543
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,天津水上公园 (Tianjin Water Park),2025-07-26 09:55,39.0871487,117.1613854,3,CN-12,S262816551
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Quanwan - north (S208 Km 41)(36.94761, 99.59749)",2025-07-26 15:35,36.947611,99.597486,200,CN-63,S262802332
gragoo,灰雁 (Graylag Goose),Anser anser,"都兰湖，铜普镇, 海西蒙古族藏族自治州 CN-青海省 (36.8146,98.4536)",2025-07-26 16:15,36.814617,98.453614,1,CN-63,S266797276
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,张掖国家湿地公园 (Zhangye National Wetland Park),2025-07-27 06:19,38.9777453,100.453818,10,CN-62,S262989815
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,太原植物园 (Taiyuan Botanical Garden),2025-07-27 09:50,37.7466444,112.4666675,1,CN-14,S263011202
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花湖 (Flower Lake),2025-07-27 10:56,33.9145052,102.8158266,2,CN-51,S263022371
gragoo,灰雁 (Graylag Goose),Anser anser,伊犁63团,2025-07-27 12:01,43.8425807,80.6504657,5,CN-65,S263022291
gragoo,灰雁 (Graylag Goose),Anser anser,小北湖湿地 (Xiaobeihu Freshwater Marsh),2025-07-27 12:40,36.5577787,100.7237206,5,CN-63,S263029236
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-07-27 15:21,33.9145052,102.8158266,6,CN-51,S263047485
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,甘子河湿地 (Ganzihe Estuary Wetlands),2025-07-27 17:57,37.0628929,100.4599496,8,CN-63,S263088491
gragoo,灰雁 (Graylag Goose),Anser anser,乌梁素海 (Ulansu Lake),2025-07-28 08:30,40.933333,108.866667,50,CN-15,S263301354
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,布哈河桥 (Buha River Bridge),2025-07-28 11:20,37.041285,99.727993,6,CN-63,S263391411
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,甘子河湿地 (Ganzihe Estuary Wetlands),2025-07-29 14:30,37.0628929,100.4599496,50,CN-63,S263658410
gragoo,灰雁 (Graylag Goose),Anser anser,甘子河湿地 (Ganzihe Estuary Wetlands),2025-07-29 14:30,37.0628929,100.4599496,5,CN-63,S263658410
gragoo,灰雁 (Graylag Goose),Anser anser,"南防洪堤, 东营市 CN-山东省 37.73996, 118.87520",2025-07-30 11:16,37.739963,118.875196,0,CN-37,S263711825
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-07-30 14:00,40.0173836,116.3938028,3,CN-11,S263819523
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,甘子河湿地 (Ganzihe Estuary Wetlands),2025-07-30 17:32,37.0628929,100.4599496,250,CN-63,S263768247
gragoo,灰雁 (Graylag Goose),Anser anser,圆明园 (Old Summer Palace [Yuanming Yuan]),2025-07-30 17:45,40.007867,116.3006421,4,CN-11,S284084023
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"S208 (36.904, 99.619)",2025-07-31 09:21,36.9036072,99.6185457,6,CN-63,S263902336
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,阿尔金山,2025-08-01,37.3072027,90.3422964,1,CN-65,S272856899
gragoo,灰雁 (Graylag Goose),Anser anser,和平公园 (Peace Park),2025-08-01 09:22,30.6335732,114.3851363,12,CN-42,S264119768
gragoo,灰雁 (Graylag Goose),Anser anser,希里沟湖 (Lake Xiligou),2025-08-01 16:00,36.838594,98.462896,1,CN-63,S305289589
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,越秀公园 (Yuexiu Park),2025-08-02 06:52,23.14149,113.26555,1,CN-44,S264310233
gragoo,灰雁 (Graylag Goose),Anser anser,乌伦古湖--黄金海岸景区 (Ulungur Lake--Golden Lakefront),2025-08-02 08:00,47.1451352,87.3200923,0,CN-65,S269268451
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,樊川公园 (Fanchuan Park),2025-08-02 11:10,34.1318485,108.9470052,1,CN-61,S266668339
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-08-02 13:36,40.0173836,116.3938028,6,CN-11,S265198652
gragoo,灰雁 (Graylag Goose),Anser anser,"嵯岗双娃牧场, 呼伦贝尔市 CN-内蒙古自治区 (49.5430,118.1088)",2025-08-02 15:39,49.542963,118.108775,20,CN-15,S264358881
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,夏拉水库,2025-08-02 15:50,36.449475,100.5420776,1,CN-63,S305248977
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-08-03 13:05,40.0173836,116.3938028,10,CN-11,S297450813
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,尕日拉寺 (Garila Temple),2025-08-03 14:15,36.9460038,99.6154022,20,CN-63,S264954612
gragoo,灰雁 (Graylag Goose),Anser anser,圆明园 (Old Summer Palace [Yuanming Yuan]),2025-08-03 18:15,40.007867,116.3006421,1,CN-11,S284084020
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,巴里坤湖 (Lake Barkol),2025-08-03 18:58,43.6117259,92.7926106,2,CN-65,S264683617
gragoo,灰雁 (Graylag Goose),Anser anser,巴里坤湖 (Lake Barkol),2025-08-03 18:58,43.6117259,92.7926106,7,CN-65,S264683617
gragoo,灰雁 (Graylag Goose),Anser anser,乌梁素海 (Ulansu Lake),2025-08-04 10:56,40.933333,108.866667,5,CN-15,S264942822
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,黑马河 (Heimahe),2025-08-04 12:00,36.7286999,99.7788719,16,CN-63,S299456267
gragoo,灰雁 (Graylag Goose),Anser anser,希里沟湖 (Lake Xiligou),2025-08-04 14:44,36.838594,98.462896,7,CN-63,S264961072
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,拉鲁湿地国家级自然保护区 (Lalu Wetland NNR),2025-08-05 09:00,29.6723632,91.1024094,1,CN-54,S274881410
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,张掖国家湿地公园 (Zhangye National Wetland Park),2025-08-05 09:58,38.9777453,100.453818,2,CN-62,S265140340
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"Dongguo Alley, Taizhou CN-Zhejiang (28.8485,121.1251)",2025-08-05 13:49,28.848488,121.125066,1,CN-33,S265893049
gragoo,灰雁 (Graylag Goose),Anser anser,辉河湿地,2025-08-05 15:00,48.819266,119.239149,100,CN-15,S265213685
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"吉泰二路262号, 成都市 CN-四川省 30.54854, 104.06122",2025-08-05 15:11,30.54854,104.061223,1,CN-51,S265153528
gragoo,灰雁 (Graylag Goose),Anser anser,"吉泰二路262号, 成都市 CN-四川省 30.54854, 104.06122",2025-08-05 15:11,30.54854,104.061223,1,CN-51,S265153528
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"吉泰二路262号, 成都市 CN-四川省 30.54854, 104.06122",2025-08-05 15:11,30.54854,104.061223,1,CN-51,S265153528
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Gonghe, Hainan CN-Qinghai 36.31813, 100.42303",2025-08-06 09:18,36.318133,100.423026,9,CN-63,S265525642
gragoo,灰雁 (Graylag Goose),Anser anser,217国道齐兰古城周边,2025-08-06 11:14,40.538944,79.630835,12,CN-65,S265374206
gragoo,灰雁 (Graylag Goose),Anser anser,拉市海--候鸟湾 (Lashihai Lake--Bird Bay),2025-08-06 17:05,26.8928775,100.1448305,10,CN-53,S265524444
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,拉市海--候鸟湾 (Lashihai Lake--Bird Bay),2025-08-06 17:05,26.8928775,100.1448305,20,CN-53,S265524444
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,扎龙国家级自然保护区 (Zhalong NNR),2025-08-07 07:28,47.2009117,124.23813,4,CN-23,S265554005
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,南海子公园 (Nanhaizi Park),2025-08-07 09:27,39.777136,116.4605969,0,CN-11,S290264197
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-08-07 09:27,39.777136,116.4605969,0,CN-11,S290264197
gragoo,灰雁 (Graylag Goose),Anser anser,黄河三角洲自然保护区--大汶流管理站 (Yellow River Delta NNR--Dawenliu Station),2025-08-07 11:00,37.7590434,118.9921687,10,CN-37,S286310238
gragoo,灰雁 (Graylag Goose),Anser anser,夹河子水库 (Jiahezi Reservoir),2025-08-07 12:23,44.4378435,86.1425793,12,CN-65,S265547742
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,普达措国家公园 (Potatso National Park),2025-08-07 13:00,27.8179489,99.8876953,0,CN-53,S298555533
gragoo,灰雁 (Graylag Goose),Anser anser,曲江池遗址公园 (Qujiang Pond Park),2025-08-07 14:16,34.2030236,108.9791837,2,CN-61,S265556626
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Gangca, Haibei CN-Qinghai (37.2204,100.1902)",2025-08-07 15:04,37.220438,100.190244,20,CN-63,S265566648
